,ip & extension,ip & extension,ip & no extension,ip & no extension
,first byte ms,page load ms,first byte ms,page load ms
0,1139,4381,1025,3809
1,1082,4356,1004,3768
2,1066,4538,975,3892
3,1131,4412,988,3822
4,1171,4635,1084,3816
5,1109,4456,999,3723
6,1202,4387,978,4011
7,1116,4445,1012,3801
8,1174,4454,983,3799
9,1103,4374,1020,3752
10,1179,4495,1024,3865
11,1107,4470,1027,3786
12,1171,4528,1024,3839
13,1087,4474,1014,3777
14,1087,4355,1033,5404
15,1125,4375,977,3946
16,1136,4408,1031,3859
17,1134,5149,1001,3791
18,1179,4424,1007,3832
19,1130,4484,994,3860
20,1094,4571,1026,3802
21,1135,4454,980,3888
22,1114,4388,977,3863
23,1355,4725,1004,3925
24,1079,4522,991,3809
25,1144,4384,1003,3876
26,1105,4353,1005,3794
27,1166,4393,998,3814
28,1158,4518,970,3850
29,1126,4488,980,3733
30,1127,4367,981,3818
31,1149,4414,979,3855
32,1144,4418,1012,3887
33,1174,4366,995,3819
34,1148,4415,993,3809
35,1128,4364,1010,3856
36,1156,4366,997,3887
37,1104,4506,987,3726
38,1181,4391,984,3828
39,1112,4414,1036,3681
40,1126,4356,1011,3845
41,1109,4361,1022,3735
42,1124,4375,997,3817
43,1108,4319,987,3758
44,1140,4386,990,3803
45,1128,4405,1022,3873
46,1151,4460,1013,3774
47,1172,4516,1022,3832
48,1119,4517,999,3874
49,1135,4413,1038,3738
50,1173,4406,1004,3776
51,1154,4415,991,3704
52,1110,4375,994,3802
53,1161,4616,971,3820
54,1138,4394,1011,3783
55,1144,4402,986,3802
56,1128,4403,984,3903
57,1159,4370,994,3960
58,1148,4385,1010,3826
59,1125,4388,1021,3917
60,1137,4458,1018,3825
61,1157,4383,1018,3827
62,1167,4399,979,3880
63,1108,4436,985,3686
64,1126,4438,984,3822
65,1117,4402,1025,3789
66,1132,4385,991,3803
67,1144,4430,1012,3892
68,1110,4387,1011,3896
69,1116,4423,1019,3721
70,1138,4382,989,3820
71,1191,4371,984,3794
72,1126,4453,1022,3824
73,1096,4443,1020,3907
74,1223,4380,982,3875
75,1096,4540,1006,3982
76,1160,4388,1034,3814
77,1191,4437,1008,3745
78,1121,4355,1016,3746
79,1110,4362,986,3903
80,1158,4384,1019,3858
81,1110,4369,1013,3903
82,1174,4506,1018,3807
83,1105,4417,1019,3819
84,1095,4403,1015,3712
85,1150,4394,990,3846
86,1175,4415,995,3829
87,1138,4384,967,3836
88,1128,4393,996,3823
89,1177,4394,1015,3889
90,1183,4408,1025,3800
91,1120,4354,1014,3867
92,1103,4442,988,3804
93,1099,4352,998,3860
94,1124,4370,998,3787
95,1179,4392,985,3731
96,1136,4429,998,3722
97,1114,4385,1013,3835
98,1169,4385,982,3890
99,1174,4406,971,3941
