,ip & extension,ip & extension,ip & no extension,ip & no extension
,first byte ms,page load ms,first byte ms,page load ms
0,390,586,162,532
1,271,636,162,510
2,293,613,161,546
3,241,641,172,519
4,309,605,161,504
5,299,604,163,782
6,277,600,184,508
7,281,589,167,542
8,291,597,159,513
9,278,620,171,549
10,264,601,158,541
11,281,615,128,530
12,240,605,151,545
13,295,596,150,520
14,268,592,130,564
15,250,607,124,562
16,282,627,170,512
17,320,572,136,539
18,261,641,163,503
19,267,627,136,549
20,297,583,164,509
21,298,619,162,514
22,216,593,162,529
23,251,624,152,551
24,296,620,142,524
25,248,590,160,498
26,244,607,154,534
27,245,604,153,525
28,293,599,143,526
29,282,600,160,518
30,273,605,148,506
31,266,600,186,521
32,272,580,175,533
33,319,599,155,542
34,282,565,123,557
35,295,602,164,522
36,247,960,158,513
37,271,588,161,517
38,281,610,161,516
39,292,590,136,542
40,299,580,170,504
41,278,587,134,537
42,282,609,158,529
43,295,603,126,544
44,391,601,162,539
45,253,606,157,527
46,230,595,162,508
47,301,609,150,543
48,244,610,161,524
49,287,586,169,537
50,286,604,141,520
51,279,609,124,556
52,300,632,148,525
53,238,610,165,535
54,270,576,166,510
55,330,637,151,543
56,274,610,160,506
57,299,616,123,561
58,299,603,160,529
59,251,638,171,499
60,289,601,156,527
61,295,602,159,545
62,274,589,172,533
63,303,595,143,523
64,274,594,161,525
65,289,617,162,507
66,292,594,163,534
67,279,582,164,544
68,332,596,167,521
69,290,585,164,500
70,260,584,157,523
71,307,1238,169,508
72,281,618,167,553
73,290,582,162,526
74,263,611,163,534
75,297,624,170,520
76,296,618,166,530
77,284,608,163,530
78,256,610,163,513
79,257,603,167,510
80,252,565,160,500
81,256,618,185,537
82,312,590,159,539
83,238,627,142,519
84,291,600,129,551
85,263,576,161,527
86,246,630,162,530
87,264,629,139,524
88,298,579,164,530
89,231,647,132,536
90,262,591,160,509
91,277,609,163,501
92,315,601,161,513
93,259,575,167,535
94,258,621,156,511
95,300,597,162,527
96,285,634,163,518
97,250,601,163,510
98,297,602,161,529
99,238,619,160,513
