,ip & extension,ip & extension,ip & no extension,ip & no extension
,first byte ms,page load ms,first byte ms,page load ms
0,154,959,91,903
1,149,972,92,872
2,129,1007,114,931
3,128,951,119,886
4,119,941,106,892
5,122,964,113,905
6,151,882,107,907
7,152,1020,117,945
8,126,943,118,877
9,152,983,121,875
10,128,992,116,894
11,164,994,137,947
12,122,954,96,946
13,141,968,109,864
14,142,1008,110,958
15,145,988,107,906
16,122,1009,107,878
17,185,997,84,913
18,150,1458,85,904
19,126,976,117,926
20,124,925,95,876
21,142,930,99,896
22,121,926,99,886
23,133,977,104,875
24,138,978,94,874
25,135,980,84,873
26,146,994,105,872
27,140,973,140,922
28,132,1008,114,910
29,150,998,130,889
30,120,982,114,958
31,170,917,94,875
32,145,946,103,903
33,132,981,117,2488
34,105,900,111,871
35,163,1011,123,891
36,155,1133,112,988
37,131,947,96,918
38,113,983,116,888
39,147,880,106,885
40,160,970,128,900
41,149,947,109,947
42,125,952,121,872
43,129,950,125,918
44,160,936,104,862
45,172,1052,134,883
46,144,973,103,932
47,158,964,83,915
48,138,985,116,873
49,133,950,110,933
50,126,958,122,908
51,142,958,123,883
52,158,972,105,1005
53,128,900,102,894
54,141,913,108,894
55,137,1005,103,902
56,111,994,117,1863
57,119,920,122,907
58,121,957,137,909
59,132,982,110,888
60,123,984,108,887
61,151,1043,126,934
62,129,989,109,868
63,142,892,127,899
64,173,953,87,872
65,138,922,117,882
66,139,972,117,925
67,146,952,106,878
68,142,978,136,970
69,178,966,106,908
70,153,989,102,896
71,118,986,101,851
72,136,984,114,932
73,157,991,105,924
74,133,954,128,924
75,129,938,117,903
76,172,995,113,968
77,142,974,94,973
78,124,965,93,870
79,116,947,87,890
80,148,979,107,918
81,113,943,78,908
82,123,979,102,897
83,138,917,101,890
84,102,924,94,922
85,106,995,96,889
86,139,1672,94,876
87,124,941,69,904
88,117,988,90,866
89,118,946,103,867
90,143,1001,110,909
91,173,1006,110,943
92,127,966,109,926
93,152,954,103,941
94,158,1008,93,866
95,151,952,137,987
96,142,937,127,960
97,149,1001,159,881
98,189,1105,106,959
99,110,983,103,909
