,scion & extension,scion & extension
,first byte ms,page load ms
0,1113,4321
1,1121,4402
2,1134,4395
3,1150,4363
4,1096,4403
5,1123,4348
6,1143,4353
7,1138,4408
8,1137,4421
9,1082,4417
10,1120,4354
11,1146,4348
12,1152,4396
13,1143,4398
14,1152,4450
15,1127,4392
16,1167,4386
17,1166,4379
18,1093,4363
19,1125,4362
20,1126,4388
21,1106,4364
22,1131,4397
23,1149,4368
24,1179,4423
25,1091,4377
26,1163,4346
27,1136,4420
28,1094,4376
29,1115,4360
30,1149,4332
31,1117,4358
32,1137,4371
33,1104,4382
34,1171,4415
35,1144,4396
36,1145,4416
37,1151,4361
38,1115,4391
39,1119,4371
40,1098,4331
41,1104,4583
42,1143,4386
43,1117,4410
44,1123,4306
45,1097,4432
46,1123,4528
47,1143,4413
48,1111,4325
49,1098,4369
50,1090,4409
51,1151,4290
52,1144,4333
53,1126,4388
54,1102,4388
55,1158,4402
56,1155,4331
57,1156,4370
58,1097,4333
59,1098,4391
60,1158,4400
61,1172,4434
62,1133,4381
63,1165,4380
64,1159,4382
65,1152,4415
66,1166,4419
67,1211,4397
68,1144,4396
69,1094,4392
70,1118,4399
71,1161,4418
72,1126,4398
73,1152,4425
74,1153,4421
75,1149,4424
76,1097,4319
77,1159,4400
78,1161,4381
79,1134,4374
80,1114,4409
81,1134,4424
82,1129,4422
83,1135,4408
84,1126,4396
85,1152,4322
86,1180,4362
87,1146,4337
88,1138,4413
89,1121,4382
90,1113,4393
91,1121,4389
92,1146,4327
93,1158,4383
94,1103,4362
95,1135,4423
96,1179,4412
97,1119,4387
98,1139,4384
99,1136,4428
