,scion & extension,scion & extension
,first byte ms,page load ms
0,340,1378
1,319,734
2,336,733
3,347,787
4,340,2883
5,358,771
6,347,731
7,359,787
8,336,786
9,339,770
10,306,851
11,338,781
12,342,792
13,324,824
14,348,741
15,340,723
16,366,703
17,337,803
18,333,720
19,355,754
20,337,687
21,356,800
22,353,767
23,326,763
24,355,748
25,381,793
26,326,741
27,339,733
28,321,823
29,354,760
30,344,810
31,342,833
32,346,748
33,331,773
34,305,3041
35,331,729
36,305,861
37,317,706
38,322,732
39,320,755
40,328,744
41,296,759
42,331,778
43,316,761
44,333,757
45,336,734
46,311,734
47,321,2353
48,365,731
49,315,710
50,344,764
51,342,713
52,318,766
53,388,758
54,336,736
55,367,745
56,386,762
57,298,744
58,294,727
59,332,785
60,343,1113
61,358,774
62,423,766
63,299,840
64,339,718
65,309,782
66,338,768
67,310,796
68,331,743
69,343,744
70,365,885
71,338,738
72,290,750
73,307,780
74,305,784
75,315,759
76,289,786
77,363,750
78,357,761
79,313,755
80,334,743
81,315,730
82,314,842
83,327,744
84,325,748
85,302,777
86,341,699
87,330,727
88,342,825
89,345,795
90,347,782
91,309,706
92,325,804
93,350,748
94,307,738
95,323,769
96,316,722
97,304,779
98,321,757
99,285,734
