,std & proxy,std & proxy
,first byte ms,page load ms
0,167,610
1,167,599
2,168,600
3,166,604
4,166,34612
5,167,626
6,169,634
7,164,603
8,173,581
9,166,637
10,209,607
11,167,590
12,170,629
13,164,612
14,208,624
15,171,624
16,173,630
17,205,631
18,175,605
19,167,591
20,166,620
21,172,631
22,166,614
23,167,587
24,164,605
25,168,607
26,166,628
27,168,619
28,210,611
29,171,624
30,163,655
31,166,616
32,162,586
33,169,633
34,173,599
35,163,587
36,159,616
37,161,592
38,172,623
39,167,615
40,178,641
41,167,606
42,160,615
43,167,624
44,168,613
45,165,592
46,160,607
47,169,648
48,166,624
49,167,605
50,165,1485
51,170,588
52,165,630
53,169,627
54,166,589
55,165,638
56,167,622
57,166,610
58,169,629
59,169,608
60,169,606
61,165,617
62,166,648
63,165,609
64,174,599
65,168,33642
66,162,601
67,166,609
68,165,606
69,166,623
70,165,622
71,163,622
72,167,608
73,166,618
74,168,621
75,161,590
76,168,624
77,166,612
78,167,624
79,169,616
80,159,610
81,167,608
82,164,603
83,158,601
84,166,662
85,167,612
86,166,611
87,173,603
88,167,642
89,167,612
90,173,619
91,165,602
92,170,622
93,167,577
94,165,619
95,167,634
96,169,599
97,164,620
98,214,631
99,167,575
