,scion & extension,scion & extension
,first byte ms,page load ms
0,168,968
1,149,987
2,151,1036
3,140,991
4,130,1025
5,176,930
6,140,1008
7,133,996
8,183,951
9,128,962
10,125,997
11,144,932
12,127,1046
13,118,979
14,145,928
15,126,963
16,163,903
17,128,950
18,135,959
19,142,919
20,154,975
21,182,1013
22,133,996
23,139,1005
24,150,1037
25,146,972
26,152,943
27,143,1003
28,131,1017
29,157,992
30,192,989
31,188,1001
32,133,973
33,126,1055
34,172,897
35,135,974
36,167,985
37,156,977
38,140,940
39,118,970
40,121,986
41,169,1023
42,129,948
43,163,977
44,111,985
45,137,968
46,138,1110
47,155,945
48,152,932
49,128,953
50,158,1014
51,149,965
52,146,1002
53,110,966
54,139,984
55,139,967
56,151,1005
57,139,954
58,137,905
59,139,996
60,131,974
61,146,1019
62,129,974
63,140,1037
64,141,977
65,172,990
66,167,986
67,139,966
68,160,978
69,159,973
70,145,980
71,132,969
72,133,957
73,164,984
74,135,988
75,162,966
76,135,970
77,138,969
78,159,955
79,178,1205
80,212,1034
81,119,987
82,127,960
83,143,1014
84,164,1004
85,144,883
86,127,990
87,127,988
88,137,963
89,136,986
90,145,969
91,162,2018
92,133,968
93,135,1069
94,160,981
95,138,977
96,131,984
97,105,1006
98,134,965
99,179,975
