,std & proxy,std & proxy
,first byte ms,page load ms
0,113,950
1,118,912
2,110,989
3,93,911
4,138,868
5,117,912
6,96,989
7,125,909
8,111,910
9,96,912
10,114,903
11,110,945
12,127,889
13,153,883
14,120,980
15,138,924
16,110,944
17,108,877
18,99,936
19,106,857
20,144,907
21,100,887
22,136,960
23,112,943
24,88,952
25,104,905
26,120,841
27,101,893
28,101,901
29,101,921
30,104,890
31,110,870
32,106,912
33,91,904
34,103,897
35,127,967
36,107,990
37,131,922
38,108,1749
39,106,900
40,126,971
41,101,905
42,111,885
43,124,874
44,120,957
45,92,910
46,121,896
47,126,954
48,136,932
49,96,981
50,128,939
51,110,937
52,163,923
53,107,912
54,109,954
55,124,943
56,125,902
57,112,914
58,115,836
59,95,925
60,103,861
61,124,970
62,93,919
63,111,989
64,117,881
65,118,902
66,106,932
67,99,856
68,116,947
69,94,866
70,109,931
71,105,855
72,143,885
73,93,857
74,111,973
75,135,935
76,125,893
77,106,871
78,128,944
79,96,936
80,82,897
81,97,895
82,102,949
83,104,919
84,78,1883
85,115,906
86,108,954
87,121,930
88,94,844
89,114,916
90,78,975
91,108,948
92,108,832
93,93,885
94,101,893
95,132,1003
96,109,913
97,96,922
98,150,1031
99,86,919
