,scion & extension,scion & extension
,first byte ms,page load ms
0,910,1441
1,880,1274
2,874,930
3,891,941
4,941,907
5,856,928
6,858,903
7,867,897
8,872,1178
9,870,847
10,848,863
11,863,960
12,883,940
13,886,1350
14,878,948
15,890,1123
16,903,1003
17,860,977
18,878,902
19,848,1088
20,888,971
21,894,958
22,856,871
23,912,925
24,865,938
25,862,918
26,889,931
27,854,930
28,892,859
29,889,968
30,865,913
31,911,3719
32,925,874
33,875,997
34,896,971
35,879,897
36,883,1410
37,881,896
38,865,942
39,904,929
40,846,1297
41,881,973
42,875,961
43,833,910
44,860,962
45,888,930
46,928,927
47,905,912
48,878,962
49,916,944
50,854,964
51,924,1008
52,871,957
53,865,1065
54,872,952
55,860,900
56,849,1052
57,866,953
58,893,927
59,869,1115
60,887,950
61,891,945
62,847,956
63,909,906
64,878,952
65,901,853
66,860,900
67,882,971
68,865,941
69,898,1239
70,863,968
71,879,1076
72,854,966
73,864,927
74,877,912
75,885,946
76,896,915
77,876,906
78,841,938
79,855,931
80,880,871
81,905,927
82,877,942
83,894,939
84,867,1616
85,872,1109
86,883,2425
87,881,1762
88,879,953
89,985,1072
90,1002,991
91,950,1345
92,932,1274
93,943,1178
94,959,908
95,868,925
96,880,909
97,878,988
98,864,3676
99,870,950
