,std & proxy,std & proxy
,first byte ms,page load ms
0,1401,1412
1,987,1235
2,990,1213
3,991,1406
4,986,1206
5,989,1205
6,988,1229
7,998,1208
8,987,1212
9,983,1218
10,986,1216
11,995,1423
12,993,1222
13,989,1211
14,988,1399
15,1010,1642
16,801,1425
17,993,1210
18,986,1590
19,990,1234
20,991,1211
21,987,1207
22,987,1399
23,987,1237
24,987,1207
25,985,1212
26,988,1231
27,987,1209
28,991,1207
29,989,1412
30,990,1213
31,983,1588
32,986,1202
33,992,1408
34,989,1212
35,986,1339
36,986,1224
37,989,1239
38,988,1235
39,996,1210
40,996,1205
41,988,1236
42,986,1219
43,989,1205
44,995,1408
45,994,1217
46,991,1599
47,993,1205
48,993,1208
49,988,1211
50,993,1206
51,989,1280
52,991,1202
53,984,1202
54,996,1220
55,990,1232
56,998,1209
57,983,1203
58,987,1203
59,988,1230
60,990,1217
61,996,1208
62,982,1203
63,993,1233
64,988,1407
65,986,1207
66,990,1233
67,796,1222
68,989,1216
69,987,1412
70,983,1397
71,988,1209
72,990,1219
73,988,1209
74,991,1238
75,984,1207
76,985,1214
77,985,1236
78,982,1206
79,989,1205
80,792,1205
81,990,1216
82,983,1232
83,991,1430
84,987,1205
85,991,1411
86,992,1204
87,797,1208
88,995,1215
89,985,1210
90,988,1208
91,989,1211
92,988,1206
93,987,1212
94,985,1206
95,987,1399
96,995,1213
97,987,1218
98,989,1209
99,984,1200
