,ip & extension,ip & extension,ip & no extension,ip & no extension
,first byte ms,page load ms,first byte ms,page load ms
0,1268,1082,796,1203
1,919,1087,786,1200
2,911,1265,789,1198
3,869,1071,790,1204
4,905,1069,795,1212
5,934,1084,788,1203
6,912,1262,793,1081
7,906,1062,796,1593
8,918,1055,795,1209
9,910,1055,793,1203
10,944,1266,793,1080
11,905,1227,792,1596
12,897,1070,788,1042
13,935,1070,790,1222
14,922,3850,797,1034
15,880,1098,795,1203
16,917,1244,790,1230
17,888,1078,791,1205
18,923,1063,792,1200
19,913,1116,787,1230
20,907,1061,785,1208
21,921,1217,787,1201
22,931,1232,790,1216
23,904,1073,788,1197
24,885,1415,794,1399
25,921,1123,791,1210
26,936,1070,791,1448
27,898,1254,790,1205
28,896,1227,786,1203
29,880,1067,792,1216
30,925,1076,788,1404
31,940,1270,791,1204
32,898,1064,789,1063
33,947,1222,795,1210
34,920,1260,789,1038
35,890,1229,793,1408
36,896,1074,793,1215
37,918,1055,792,1392
38,895,1057,785,1198
39,907,1070,782,1232
40,910,1281,797,1205
41,929,1063,788,1040
42,915,1065,789,1203
43,948,1221,791,1199
44,937,1065,787,1215
45,972,1060,789,1589
46,963,890,787,1202
47,930,901,791,1206
48,922,1057,793,1206
49,924,1061,787,1194
50,922,1073,792,1032
51,920,1098,796,1197
52,894,1252,790,1198
53,900,1229,790,1219
54,921,1446,787,1211
55,900,1064,788,1204
56,915,1786,787,1204
57,917,1062,795,1210
58,922,1063,791,1213
59,873,1229,786,1203
60,940,1062,789,1200
61,908,1062,788,1199
62,887,1072,791,1198
63,915,1060,792,1209
64,896,1057,797,1203
65,934,1062,802,1206
66,908,1060,788,1204
67,898,1060,789,1210
68,930,1258,791,1204
69,887,1073,788,1217
70,934,1069,790,1209
71,896,1467,787,1204
72,932,1266,786,1210
73,893,1060,792,1216
74,911,1252,791,1230
75,943,1098,790,1214
76,907,1218,786,1432
77,898,1225,791,1207
78,921,1057,789,1398
79,924,1073,789,1236
80,933,1223,788,1200
81,940,1261,794,1204
82,913,1257,793,1193
83,951,1063,796,1414
84,917,1221,785,1206
85,890,1061,788,1033
86,914,1070,794,1207
87,919,1071,795,1226
88,941,1062,791,1205
89,894,1269,788,1617
90,925,1222,787,1199
91,920,1128,792,1040
92,880,1228,787,1203
93,923,915,791,1041
94,941,1076,788,1043
95,909,1251,789,1207
96,912,1226,790,1393
97,903,1080,789,1210
98,930,1074,798,1246
99,934,1065,792,1201
