,std & proxy,std & proxy
,first byte ms,page load ms
0,994,3938
1,977,4053
2,1004,3899
3,1034,3942
4,1001,3886
5,1000,4721
6,987,3946
7,972,3851
8,1028,3899
9,1015,4031
10,1012,3969
11,994,4042
12,979,4117
13,994,3995
14,1004,4133
15,995,3825
16,1000,3874
17,1025,4034
18,1011,4021
19,988,4057
20,990,3947
21,1029,3886
22,995,3858
23,1008,3838
24,994,4093
25,1002,4083
26,1015,4084
27,1002,3919
28,1026,9516
29,1005,3962
30,1005,3833
31,1017,4043
32,1014,3871
33,974,3806
34,1019,4013
35,1008,4100
36,997,3810
37,978,3875
38,1010,3837
39,978,4168
40,991,3824
41,1012,3838
42,1023,3921
43,1004,4252
44,1010,3974
45,993,5067
46,995,3806
47,1009,3965
48,1003,3842
49,972,3651
50,1017,3747
51,1001,3771
52,991,3896
53,1009,3804
54,1050,3900
55,986,3976
56,1006,3949
57,1007,4012
58,970,3978
59,987,4160
60,1039,4210
61,972,4064
62,1009,4090
63,996,4207
64,1005,4089
65,981,3980
66,1025,3922
67,1013,4050
68,979,3904
69,997,3909
70,1014,3921
71,1045,3963
72,1004,4204
73,997,3844
74,979,3834
75,1014,4086
76,1016,4142
77,1021,4048
78,1007,4060
79,1022,4030
80,1031,3945
81,1003,4132
82,1009,4020
83,1005,3970
84,1034,4051
85,1026,4029
86,1034,4107
87,1005,4199
88,1032,4046
89,1020,3995
90,1036,4101
91,1017,4002
92,1027,3972
93,1043,3935
94,975,4121
95,996,3851
96,974,3835
97,1019,3944
98,1047,3974
99,986,4044
